genome_ID,assembly_accession,organism_name,superkingdom,phylum,class,order,family,genus,genome_size,proteins,completeness,contamination,nif_type,oxygen_discrete,oxygen_numeric,temperature,temp_discrete,pH,pH_discrete,habitat,habitat_richness,metabolic_richness,gene_number,gene_complexity,root_distance
G000979745,GCF_000979745.1,Methanosarcina mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.005945,3464,100,0.65,nif,anaerobe,2,35.6,Mesophile,7.1,Neutrophile,Freshwater,0.13,0.180412371,27,0.290322581,0.832078316
G000979185,GCF_000979185.1,Methanosarcina mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,3.989219,3448,100,0.65,nif,anaerobe,2,35.6,Mesophile,7.1,Neutrophile,Freshwater,0.13,0.180412371,27,0.290322581,0.832291944
G000979855,GCF_000979855.1,Methanosarcina mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.05356,3518,100,0.65,nif,anaerobe,2,35.6,Mesophile,7.1,Neutrophile,Freshwater,0.13,0.180412371,27,0.290322581,0.832353996
G000979825,GCF_000979825.1,Methanosarcina mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.091268,3552,100,0.65,nif,anaerobe,2,35.6,Mesophile,7.1,Neutrophile,Freshwater,0.13,0.180412371,27,0.290322581,0.832465413
G000979555,GCF_000979555.1,Methanosarcina mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.078931,3539,100,0.65,nif,anaerobe,2,35.6,Mesophile,7.1,Neutrophile,Freshwater,0.13,0.180412371,27,0.290322581,0.832711756
G000979675,GCF_000979675.1,Methanosarcina mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.095685,3558,100,0.65,nif,anaerobe,2,35.6,Mesophile,7.1,Neutrophile,Freshwater,0.13,0.180412371,27,0.290322581,0.83417383
G000979895,GCF_000979895.1,Methanosarcina mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,3.968247,3425,100,0.65,nif,anaerobe,2,35.6,Mesophile,7.1,Neutrophile,Freshwater,0.13,0.180412371,27,0.290322581,0.835313955
G000979845,GCF_000979845.1,Methanosarcina mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.034156,3480,100,0.65,nif,anaerobe,2,35.6,Mesophile,7.1,Neutrophile,Freshwater,0.13,0.180412371,27,0.290322581,0.835771635
G000978935,GCF_000978935.1,Methanosarcina mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.068199,3505,100,0.65,nif,anaerobe,2,35.6,Mesophile,7.1,Neutrophile,Freshwater,0.13,0.180412371,27,0.290322581,0.836902763
G000979095,GCF_000979095.1,Methanosarcina mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.003619,3430,100,0.65,nif,anaerobe,2,35.6,Mesophile,7.1,Neutrophile,Freshwater,0.13,0.180412371,27,0.290322581,0.837214192
G000979815,GCF_000979815.1,Methanosarcina mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.075275,3515,100,0.65,nif,anaerobe,2,35.6,Mesophile,7.1,Neutrophile,Freshwater,0.13,0.180412371,27,0.290322581,0.838184748
G000979995,GCF_000979995.1,Methanosarcina mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.00686,3466,100,0.65,nif,anaerobe,2,35.6,Mesophile,7.1,Neutrophile,Freshwater,0.13,0.180412371,27,0.290322581,0.838608627
G000979755,GCF_000979755.1,Methanosarcina mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.121503,3555,100,0.65,nif,anaerobe,2,35.6,Mesophile,7.1,Neutrophile,Freshwater,0.13,0.180412371,27,0.290322581,0.840056731
G000978945,GCF_000978945.1,Methanosarcina mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.073967,3511,100,0.65,nif,anaerobe,2,35.6,Mesophile,7.1,Neutrophile,Freshwater,0.13,0.180412371,27,0.290322581,0.84036177
G000979575,GCF_000979575.1,Methanosarcina mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.043214,3494,99.35,0.65,nif,anaerobe,2,35.6,Mesophile,7.1,Neutrophile,Freshwater,0.13,0.180412371,27,0.290322581,0.84036177
G000979015,GCF_000979015.1,Methanosarcina mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,3.981997,3443,100,0.65,nif,anaerobe,2,35.6,Mesophile,7.1,Neutrophile,Freshwater,0.13,0.180412371,27,0.290322581,0.84120821
G000978955,GCF_000978955.1,Methanosarcina mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.061965,3564,100,0.65,nif,anaerobe,2,35.6,Mesophile,7.1,Neutrophile,Freshwater,0.13,0.180412371,27,0.290322581,0.842430954
G000979125,GCF_000979125.1,Methanosarcina mazei,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.072647,3520,100,0.65,nif,anaerobe,2,35.6,Mesophile,7.1,Neutrophile,Freshwater,0.13,0.180412371,27,0.290322581,0.844677772
G900143645,GCF_900143645.1,Anaerocolumna xylanovorans DSM 12503,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerocolumna,5.420325,4678,99.11,3.02,nif,anaerobe,2,37.9,Mesophile,7.1,Neutrophile,Terrestrial,0.14,0.139175258,29,0.311827957,0.92476109
G000168715,GCF_000168715.1,Chlorobium ferrooxidans DSM 13031,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobium,2.538957,2363,95.66,0,nif,NA,NA,28.2,Mesophile,7.1,Neutrophile,Freshwater,0.03,0.175257732,29,0.311827957,0.860078093
G000016165,GCF_000016165.1,Desulfotomaculum reducens MI-1,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,3.608104,3522,100,1.27,nif,NA,NA,37,Mesophile,7.1,Neutrophile,Saline,0,0.206185567,27,0.290322581,0.666706617
G000019165,GCF_000019165.1,Heliobacterium modesticaldum Ice1,Bacteria,Firmicutes,Clostridia,Clostridiales,Heliobacteriaceae,Heliobacterium,3.075407,2749,100,0.89,nif,anaerobe,2,42,Mesophile,7.2,Neutrophile,Terrestrial,0.01,0.18556701,26,0.279569892,0.60908573
G000621505,GCF_000621505.1,[Clostridium] cellobioparum DSM 1351 = ATCC 15832,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,6.132222,5183,100,2.13,nif,anaerobe,2,33.5,Mesophile,7.3,Neutrophile,Host-associated,0.15,0.221649485,29,0.311827957,0.80765531
G000237085,GCF_000237085.1,[Clostridium] clariflavum DSM 19732,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,4.897678,4217,100,0,nif,anaerobe,2,57.5,Thermophile,7.5,Neutrophile,Host-associated,0.15,0.18556701,30,0.322580645,0.795601308
G000970185,GCF_000970185.1,Methanosarcina mazei SarPi,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,4.066551,3445,100,0.65,nif,anaerobe,2,44.3,Mesophile,5.4,Acidophile,Terrestrial,0.13,0.175257732,28,0.301075269,0.818291978
G000020505,GCF_000020505.1,Chlorobaculum parvum NCIB 8327,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum,2.289249,2100,98.89,0.28,nif,facultative,3,34.8,Mesophile,5.6,Neutrophile,Freshwater,0.03,0.175257732,28,0.301075269,0.819778132
G001803635,GCA_001803635.1,Nitrospirae bacterium GWB2_47_37,Bacteria,Nitrospirae,0,0,0,0,2.472158,2594,96.36,0,nif,anaerobe,2,42.2,Mesophile,5.9,Neutrophile,Terrestrial,NA,0.175257732,28,0.301075269,0.732342066
G000305935,GCF_000305935.1,Thermacetogenium phaeum DSM 12270,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermacetogenium,2.939057,2870,98.52,0,nif,anaerobe,2,54.1,Thermophile,6.1,Neutrophile,Freshwater,0.12,0.170103093,28,0.301075269,0.633362231
G001456065,GCF_001456065.2,Clostridium butyricum,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,4.627894,4101,99.19,0,nif,anaerobe,2,35.6,Mesophile,6.6,Neutrophile,Host-associated,0.18,0.221649485,28,0.301075269,0.897350778
G000179595,GCF_000179595.2,Acetivibrio cellulolyticus CD2,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acetivibrio,6.156735,5049,99.32,4.39,nif,anaerobe,2,40.7,Mesophile,6.8,Neutrophile,Freshwater,0.19,0.190721649,31,0.333333333,0.828682968
G000426225,GCF_000426225.1,Desulforegula conservatrix Mb1Pa,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulforegula,4.469042,3905,99.35,0.65,nif,anaerobe,2,35.5,Mesophile,6.9,Neutrophile,Freshwater,0.02,0.195876289,28,0.301075269,0.890136587
G900114975,GCA_900114975.1,Thermodesulforhabdus norvegica,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Thermodesulforhabdus,2.808342,2684,97.1,0,nif,anaerobe,2,59.6,Thermophile,7.2,Neutrophile,Hydrothermal,0.03,0.18556701,27,0.290322581,0.743486135
G900110485,GCA_900110485.1,Propionispora vibrioides,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Propionispora,4.433598,4143,100,2.03,anf,anaerobe,2,37,Mesophile,5.9,Neutrophile,Terrestrial,0.12,0.257731959,32,0.344086022,0.630647163
G900128885,GCF_900128885.1,Alkalibacter saccharofermentans DSM 14828,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Alkalibacter,2.331365,2200,99.3,0.7,nif,anaerobe,2,39.2,Mesophile,6,Neutrophile,Saline,0,0.159793814,29,0.311827957,0.741172456
G000455265,GCF_000455265.1,Paenibacillus antibioticophila,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,5.58469,5087,97.29,0.15,nif,NA,NA,32.9,Mesophile,6.4,Neutrophile,Host-associated,0.12,0.31443299,27,0.290322581,0.76844936
G001802645,GCA_001802645.1,Geobacteraceae bacterium GWC2_53_11,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,0,4.280425,3902,96.77,0.32,nif,NA,NA,27.7,Mesophile,6.4,Neutrophile,Terrestrial,NA,0.206185567,28,0.301075269,0.701011425
G000008765,GCF_000008765.1,Clostridium acetobutylicum ATCC 824,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,4.13288,3896,100,0,nif,anaerobe,2,39.5,Mesophile,6.6,Neutrophile,Terrestrial,0.05,0.195876289,30,0.322580645,0.844837211
G000213555,GCF_000213555.1,Dysgonomonas gadei ATCC BAA-286,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Dysgonomonas,5.176087,4158,100,0.55,nif,anaerobe,2,35.7,Mesophile,6.6,Neutrophile,Host-associated,0.05,0.180412371,32,0.344086022,1.225120803
G900142955,GCF_900142955.1,Anaerosporobacter mobilis DSM 15930,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerosporobacter,5.217774,4589,99.33,3.36,nif,anaerobe,2,30,Mesophile,6.8,Neutrophile,Terrestrial,0.16,0.164948454,32,0.344086022,0.851044051
G000430885,GCF_000430885.1,Desulfotomaculum alcoholivorax DSM 16058,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,3.47105,3504,99.91,0.64,nif,anaerobe,2,45,Thermophile,6.9,Neutrophile,Terrestrial,0.02,0.195876289,28,0.301075269,0.673559046
G000017625,GCF_000017625.1,Methanoregula boonei 6A8,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanoregulaceae,Methanoregula,2.542943,2527,99.54,1.31,nif,anaerobe,2,36,Mesophile,5.1,Acidophile,Terrestrial,0.13,0.180412371,29,0.311827957,0.897696448
G000469585,GCF_000469585.1,Chrysiogenes arsenatis DSM 11915,Bacteria,Chrysiogenetes,Chrysiogenetes,Chrysiogenales,Chrysiogenaceae,Chrysiogenes,2.825161,2560,93.91,0.43,nif,anaerobe,2,32.3,Mesophile,6,Neutrophile,Terrestrial,0,0.206185567,29,0.311827957,0.646470512
G001914235,GCA_001914235.1,Desulfobulbaceae bacterium DB1,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,0,3.868181,3552,98.02,0.15,nif,NA,NA,35.9,Mesophile,6.1,Neutrophile,Freshwater,0.05,0.170103093,30,0.322580645,0.762934002
G001263415,GCF_001263415.1,Thermincola ferriacetica,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Thermincola,3.178727,3161,99.49,1.32,nif,anaerobe,2,60,Thermophile,6.5,Neutrophile,Hydrothermal,0.05,0.175257732,30,0.322580645,0.567455416
G000215085,GCF_000215085.1,Desulfotomaculum ruminis DSM 2154,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,3.969014,3922,99.37,3.16,nif,anaerobe,2,43.2,Mesophile,6.5,Neutrophile,Host-associated,0.01,0.195876289,30,0.322580645,0.676066424
G000186885,GCF_000186885.1,Desulfobulbus propionicus DSM 2032,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,3.851869,3332,99.15,0,nif,anaerobe,2,34.6,Mesophile,6.5,Neutrophile,Freshwater,0.11,0.201030928,29,0.311827957,0.811619826
G000374545,GCF_000374545.1,Anaeromusa acidaminophila DSM 3853,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Anaeromusa,3.475815,3301,100,1.58,nif,anaerobe,2,36.7,Mesophile,6.6,Neutrophile,Terrestrial,0.07,0.24742268,30,0.322580645,0.641843481
G000379025,GCF_000379025.1,Orenia marismortui DSM 5156,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Orenia,3.459766,3200,99.13,1.16,nif,anaerobe,2,38,Mesophile,6.7,Neutrophile,Saline,0,0.226804124,32,0.344086022,0.58136307
G000233715,GCF_000233715.2,Desulfotomaculum gibsoniae DSM 7213,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,4.855529,4611,99.06,2.39,nif,anaerobe,2,45.5,Thermophile,7,Neutrophile,Freshwater,0.01,0.206185567,29,0.311827957,0.678273643
G000830255,GCA_000830255.1,Sulfuricurvum sp. PC08-66,Bacteria,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfuricurvum,2.294002,2346,98.37,0.61,nif,anaerobe,2,28.9,Mesophile,7.3,Neutrophile,Freshwater,0.04,0.18556701,28,0.301075269,0.935815435
G001742305,GCF_001742305.1,Desulfuribacillus stibiiarsenatis,Bacteria,Firmicutes,Bacilli,Bacillales,0,Desulfuribacillus,3.119699,3046,96.03,2.05,nif,anaerobe,2,34,Mesophile,8.3,Alkaliphile,Hydrothermal,0.01,0.195876289,30,0.322580645,0.635911406
G000152145,GCF_000152145.1,Oscillochloris trichoides DG-6,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Oscillochloridaceae,Oscillochloris,4.373075,3613,98.74,0.94,nif,anaerobe,2,40.5,Mesophile,5,Acidophile,Hydrothermal,0.02,0.216494845,32,0.344086022,0.709419513
G000520815,GCF_000520815.1,Paenibacillus sp. 1-49,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,5.617999,5454,99.26,0.59,nif,NA,NA,33.1,Mesophile,5.6,Neutrophile,Plant,0.13,0.329896907,28,0.301075269,0.770706339
G000214355,GCF_000214355.1,Treponema azotonutricium ZAS-9,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,3.855671,3405,98.86,2.27,nif,anaerobe,2,39.2,Mesophile,6.1,Neutrophile,Host-associated,0.01,0.128865979,34,0.365591398,0.878049024
G000520795,GCF_000520795.1,Paenibacillus polymyxa 1-43,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,5.971696,5517,99.85,0.2,nif,NA,NA,33,Mesophile,6.3,Neutrophile,Plant,0.04,0.304123711,28,0.301075269,0.776474666
G000350485,GCF_000350485.1,[Clostridium] termitidis CT1112,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium,6.415858,5378,100,0.78,anf,anaerobe,2,38.1,Mesophile,6.3,Neutrophile,Host-associated,0.15,0.154639175,33,0.35483871,0.809965185
G000934755,GCF_000934755.1,Desulfonatronovibrio magnus,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfonatronovibrio,4.809662,4241,100,1.39,nif,anaerobe,2,38.7,Mesophile,6.4,Neutrophile,Freshwater,0.01,0.190721649,30,0.322580645,0.854939918
G000174415,GCF_000174415.1,Dethiobacter alkaliphilus AHT 1,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Dethiobacter,3.116746,3158,95.76,1.13,nif,anaerobe,2,41.7,Mesophile,6.4,Neutrophile,Host-associated,0.06,0.195876289,30,0.322580645,0.593321309
G000016985,GCF_000016985.1,Alkaliphilus metalliredigens QYMF,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Alkaliphilus,4.929566,4823,99.29,2.13,nif,anaerobe,2,34.8,Mesophile,6.6,Neutrophile,Host-associated,0.05,0.216494845,30,0.322580645,0.747793903
G900114545,GCA_900114545.1,Halanaerobium salsuginis,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halanaerobium,2.991186,2833,99.13,3.04,nif,anaerobe,2,35.6,Mesophile,6.6,Neutrophile,Freshwater,0.05,0.18556701,33,0.35483871,0.684159771
G000420465,GCF_000420465.1,Desulfovibrio desulfuricans subsp. desulfuricans DSM 642,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,3.391683,2879,99.41,0,nif,anaerobe,2,36.1,Mesophile,6.7,Neutrophile,Terrestrial,0.05,0.159793814,31,0.333333333,1.035509381
G001263795,GCF_001263795.1,Clostridium homopropionicum DSM 5847,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,3.650535,3522,100,0.89,nif,anaerobe,2,40.1,Mesophile,6.7,Neutrophile,Freshwater,0.07,0.175257732,31,0.333333333,0.845375277
G000245715,GCF_000245715.1,Paenibacillus sp. Aloe-11,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,5.812362,5352,96.84,0.59,nif,NA,NA,33,Mesophile,6.8,Neutrophile,Plant,0.08,0.335051546,29,0.311827957,0.782682249
G000020645,GCF_000020645.1,Pelodictyon phaeoclathratiforme BU-1,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Pelodictyon,3.018238,2922,98.9,0,nif,NA,NA,36.9,Mesophile,6.8,Neutrophile,Freshwater,0.04,0.175257732,30,0.322580645,0.840603493
G000214375,GCF_000214375.1,Treponema primitia ZAS-2,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,4.059867,3500,98.86,1.14,nif,anaerobe,2,33.6,Mesophile,6.8,Neutrophile,Host-associated,0.02,0.149484536,32,0.344086022,0.900148499
G000147075,GCF_000147075.1,Spirochaeta thermophila DSM 6192,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta,2.472645,2229,100,0,nif,anaerobe,2,54.6,Thermophile,7.3,Neutrophile,Hydrothermal,0,0.12371134,34,0.365591398,0.801604098
G900113335,GCA_900113335.1,Desulfotomaculum arcticum,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,5.215335,5096,99.27,0.64,nif,anaerobe,2,44,Mesophile,7.3,Neutrophile,Freshwater,0.02,0.195876289,30,0.322580645,0.701781979
G000012925,GCF_000012925.1,Geobacter metallireducens GS-15,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter,4.011182,3595,99.42,0,nif,anaerobe,2,33.8,Mesophile,4.9,Acidophile,Freshwater,0.15,0.221649485,31,0.333333333,0.676504008
G000746875,GCF_000746875.1,Paenibacillus macerans,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,7.33775,6480,99.26,0.06,nif,aerobe,1,36.4,Mesophile,5,Acidophile,Terrestrial,0.15,0.324742268,29,0.311827957,0.759135307
G000016665,GCF_000016665.1,Roseiflexus sp. RS-1,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Roseiflexaceae,Roseiflexus,5.801598,4990,99.69,1.83,nif,NA,NA,47.3,Thermophile,5.4,Acidophile,Freshwater,0.01,0.24742268,33,0.35483871,0.685578678
G900104445,GCA_900104445.1,Desulforhopalus singaporensis,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulforhopalus,5.00886,4418,99.7,0.6,nif,anaerobe,2,31,Mesophile,5.9,Neutrophile,Freshwater,0.13,0.195876289,31,0.333333333,0.880904128
G000520775,GCF_000520775.1,Paenibacillus polymyxa TD94,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,5.999202,5691,99.25,2.54,nif,aerobe,1,32.5,Mesophile,6,Neutrophile,Terrestrial,0.13,0.324742268,29,0.311827957,0.778494786
G900102965,GCF_900102965.1,Paenibacillus jilunlii,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,7.032114,6121,99.8,1.08,nif,aerobe,1,31.1,Mesophile,6,Neutrophile,Plant,0.13,0.324742268,29,0.311827957,0.776166414
G900112775,GCA_900112775.1,[Clostridium] populeti,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,4.222819,3696,98.66,1.23,nif,anaerobe,2,35,Mesophile,6,Neutrophile,Host-associated,0.22,0.175257732,34,0.365591398,0.880713744
G000025605,GCF_000025605.1,Thermocrinis albus DSM 14484,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Thermocrinis,1.500577,1621,99.39,0,nif,anaerobe,2,70.7,Thermophile,6.2,Neutrophile,Hydrothermal,0.02,0.154639175,31,0.333333333,0.847050987
G000585355,GCF_000585355.1,Prevotella oryzae DSM 17970,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,3.287991,2632,98.88,0.56,nif,anaerobe,2,29.8,Mesophile,6.3,Neutrophile,Terrestrial,0.09,0.154639175,35,0.376344086,1.326153574
G000830175,GCA_000830175.1,Sulfurovum sp. FS08-3,Bacteria,Epsilonproteobacteria,Epsilonproteobacteria,0,0,Sulfurovum,2.543982,2584,98.36,0.82,nif,anaerobe,2,33.8,Mesophile,6.5,Neutrophile,Freshwater,NA,0.170103093,30,0.322580645,1.007359448
G001799255,GCA_001799255.1,Deltaproteobacteria bacterium RIFOXYD12_FULL_55_16,Bacteria,Deltaproteobacteria,Deltaproteobacteria,0,0,0,2.463609,2285,90.33,0.6,nif,anaerobe,2,34.4,Mesophile,6.6,Neutrophile,Terrestrial,NA,0.195876289,32,0.344086022,0.80380095
G000735045,GCF_000735045.1,Ferrovum myxofaciens,Bacteria,Betaproteobacteria,Betaproteobacteria,Ferrovales,Ferrovaceae,Ferrovum,2.702191,3071,94.87,0,nif,aerobe,1,31.8,Mesophile,6.7,Neutrophile,Freshwater,0.09,0.25257732,34,0.365591398,0.684958925
G000214435,GCF_000214435.1,Desulfotomaculum nigrificans CO-1-SRB,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,2.892255,2819,99.37,0,nif,anaerobe,2,55,Thermophile,7,Neutrophile,Terrestrial,0,0.206185567,32,0.344086022,0.598727817
G000430605,GCF_000430605.1,Anaeroarcus burkinensis DSM 6283,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Anaeroarcus,3.338457,3130,100,0.63,nif,anaerobe,2,36.4,Mesophile,7,Neutrophile,Terrestrial,0.06,0.206185567,32,0.344086022,0.636202425
G000006985,GCF_000006985.1,Chlorobium tepidum TLS,Bacteria,Chlorobi,Chlorobia,Chlorobiales,Chlorobiaceae,Chlorobaculum,2.154946,2009,98.9,0.55,nif,anaerobe,2,35.5,Mesophile,7.3,Neutrophile,Hydrothermal,0.04,0.180412371,32,0.344086022,0.82280944
G000422245,GCF_000422245.1,Desulfovibrio alkalitolerans DSM 16529,Bacteria,Deltaproteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,3.202328,2925,100,0,nif,anaerobe,2,43,Mesophile,9.2,Alkaliphile,Terrestrial,0,0.175257732,31,0.333333333,0.88848789
G000178115,GCF_000178115.2,Ethanoligenens harbinense YUAN-3,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ethanoligenens,3.008576,2784,97.32,0.34,vnf,anaerobe,2,35,Mesophile,4.8,Acidophile,Host-associated,0.11,0.154639175,34,0.365591398,0.882273016
G000758725,GCF_000758725.1,Paenibacillus odorifer,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,6.812473,5960,99.85,1.72,nif,aerobe,1,29.7,Mesophile,5.5,Acidophile,Plant,0.12,0.309278351,30,0.322580645,0.775606415
G000165505,GCF_000165505.1,Ilyobacter polytropus DSM 2926,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Ilyobacter,3.132314,2949,100,0,nif,anaerobe,2,38.3,Mesophile,5.6,Neutrophile,Saline,0.05,0.216494845,33,0.35483871,0.661832005
G000789415,GCA_000789415.1,Sulfurospirillum sp. MES,Bacteria,Epsilonproteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Sulfurospirillum,2.652605,2689,100,2.38,nif,facultative,3,34.3,Mesophile,5.9,Neutrophile,Freshwater,NA,0.159793814,31,0.333333333,0.864874976
G000171235,GCF_000171235.2,Diplosphaera colitermitum TAV2,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Diplosphaera,5.671497,5111,98.06,0.5,anf,facultative,3,31.9,Mesophile,6,Neutrophile,Host-associated,0.1,0.175257732,35,0.376344086,0.885566867
G000746025,GCF_000746025.1,Clostridiales bacterium DRI-13,Bacteria,Firmicutes,Clostridia,Clostridiales,0,0,3.649665,3708,98.72,1.91,nif,anaerobe,2,48.1,Thermophile,6,Neutrophile,Freshwater,0.07,0.195876289,34,0.365591398,0.587372612
